"Name","Commit","Runtime","Notes","State","Sweep","Updated","Tags","batch_size","dropout","early_stopping","epochs","hidden_size","learning_rate","overlap","weight_decay","window_size","baseline_r2","best_val_loss","epoch","mae","mse","r2","rmse","train_loss","val_loss"
"efficient-sweep-15","7bf0db2825295dd53969094840e6b785c3d1f48d","172","-","finished","8jyuii2m","2025-03-25T18:03:30.000Z","","128","0.6596939946455399","20","200","256","0.0005","0.8669958411964235","0.0000011580849909449975","50","0","0.012303904216322634","20","0.07322441786527634","0.010973588563501837","0.8860888840431003","0.10475489497184752","0.010007358133970272","0.012303904216322634"
"zany-sweep-14","7bf0db2825295dd53969094840e6b785c3d1f48d","223","-","finished","8jyuii2m","2025-03-25T18:00:34.000Z","","64","0.632241675485856","20","200","256","0.001","0.8845955213852343","0.0000016796730993911864","50","0","0.015137135770849209","20","0.0862390547990799","0.015005812048912048","0.8461647201456567","0.12249821424484252","0.01875498376786709","0.015425931281325493"
"noble-sweep-13","7bf0db2825295dd53969094840e6b785c3d1f48d","187","-","finished","8jyuii2m","2025-03-25T17:56:47.000Z","","64","0.6372916166396517","20","200","256","0.001","0.8735059419729071","0.000002109172819642962","50","0","0.013246236369013786","20","0.08454339951276779","0.014226811937987804","0.852318872948315","0.11927620321512222","0.01383917301427573","0.014227294983963173"
"good-sweep-12","7bf0db2825295dd53969094840e6b785c3d1f48d","202","-","finished","8jyuii2m","2025-03-25T17:53:36.000Z","","128","0.6504134546969217","20","200","256","0.0005","0.8905611251847889","0.00000281233195794703","50","0","0.009317207023162731","20","0.06738609820604324","0.009630273096263409","0.901273207056016","0.09813395142555235","0.008764556404203176","0.009317207023162731"
"resilient-sweep-11","7bf0db2825295dd53969094840e6b785c3d1f48d","177","-","finished","8jyuii2m","2025-03-25T17:50:10.000Z","","128","0.5850540267557656","20","200","256","0.001","0.8641609548213061","0.000010325582562054462","50","0","0.012064262189798884","20","0.10304762423038484","0.02218895778059959","0.769667970754883","0.14895957708358765","0.01901468572517236","0.023607371581925288"
"ethereal-sweep-10","7bf0db2825295dd53969094840e6b785c3d1f48d","217","-","finished","8jyuii2m","2025-03-25T17:47:08.000Z","","128","0.6448097336603696","20","200","256","0.005","0.8826355747828227","0.0000015856265952224714","30","0","0.056807372719049454","20","0.1887345910072327","0.05695091187953949","0.40582526697438015","0.23864389955997467","0.055108300188467615","0.059125817898246974"
"vivid-sweep-9","7bf0db2825295dd53969094840e6b785c3d1f48d","213","-","finished","8jyuii2m","2025-03-25T17:43:28.000Z","","128","0.5660932454161064","20","200","256","0.0005","0.8898478193487576","0.000013386723727694853","50","0","0.011511735956777226","20","0.10537569224834442","0.023885104805231094","0.7551367709800898","0.1545480638742447","0.019162868559360505","0.02375471287152984"
"prime-sweep-8","7bf0db2825295dd53969094840e6b785c3d1f48d","213","-","finished","8jyuii2m","2025-03-25T17:39:52.000Z","","128","0.5989218177785136","20","150","256","0.001","0.898734415083981","0.0000010527719264347953","50","0","0.01819705870002508","20","0.087309829890728","0.019253529608249664","0.8026183526378912","0.1387570947408676","0.016413873750716446","0.019150415435433388"
"logical-sweep-7","7bf0db2825295dd53969094840e6b785c3d1f48d","205","-","finished","8jyuii2m","2025-03-25T17:36:11.000Z","","128","0.6475088590021995","20","200","256","0.0005","0.8845827511775617","0.000001737566271719036","50","0","0.008756487503309141","20","0.06574885547161102","0.009252265095710754","0.905148428572504","0.09618869423866272","0.007556586731225252","0.008756487503309141"
"apricot-sweep-6","7bf0db2825295dd53969094840e6b785c3d1f48d","50","-","finished","8jyuii2m","2025-03-25T17:32:39.000Z","","64","0.6962254531156017","10","150","128","0.0005","0.8010806071396721","0.00001665045642995943","30","0","0.02287803797728636","10","0.11229439079761504","0.021735193207859993","0.7791289866162909","0.14742860198020935","0.020733769835516957","0.023530688983472912"
